,21
mean_fit_time,0.004282236099243164
std_fit_time,0.0007414077065562608
mean_score_time,0.01002192497253418
std_score_time,0.0024837169488007792
param_class_weight,
param_max_depth,3
param_min_samples_leaf,2
param_min_samples_split,2
param_random_state,0
params,"{'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}"
split0_test_mcc,0.7340646971002934
split1_test_mcc,0.7340646971002934
split2_test_mcc,0.6278669185981051
split3_test_mcc,0.4429030024106458
split4_test_mcc,0.589611228406161
mean_test_mcc,0.6257021087230997
std_test_mcc,0.10789592432718541
rank_test_mcc,1
split0_train_mcc,0.6392462923973489
split1_train_mcc,0.6392462923973489
split2_train_mcc,0.6679084334186761
split3_train_mcc,0.7026062831514298
split4_train_mcc,0.6318517905529382
mean_train_mcc,0.6561718183835483
std_train_mcc,0.026299499098891954
split0_test_f1,0.7058823529411765
split1_test_f1,0.7058823529411765
split2_test_f1,0.5714285714285714
split3_test_f1,0.3333333333333333
split4_test_f1,0.5882352941176471
mean_test_f1,0.580952380952381
std_test_f1,0.13614252261363843
rank_test_f1,1
split0_train_f1,0.5862068965517241
split1_train_f1,0.5862068965517241
split2_train_f1,0.6229508196721312
split3_train_f1,0.6666666666666666
split4_train_f1,0.5901639344262295
mean_train_f1,0.610439042773695
std_train_f1,0.03131633468129097
split0_test_auprc,0.5679880978210333
split1_test_auprc,0.5698755980861243
split2_test_auprc,0.41882572934720436
split3_test_auprc,0.2244762102885673
split4_test_auprc,0.4904989203318559
mean_test_auprc,0.45433291117495705
std_test_auprc,0.12780489589391145
rank_test_auprc,10
split0_train_auprc,0.5198362563207576
split1_train_auprc,0.5155865636572372
split2_train_auprc,0.5439800636094825
split3_train_auprc,0.5601817687050935
split4_train_auprc,0.5131374693973467
mean_train_auprc,0.5305444243379835
std_train_auprc,0.018440678526039263
