,6
hidden_size,8.0
num_layers,1.0
lr,0.01
batch_size,16.0
split0_train_mcc,0.5872791440571647
split0_train_f1,0.5573770491803278
split0_train_auprc,0.4574981752451531
split0_test_mcc,0.7340646971002934
split0_test_f1,0.7058823529411765
split0_test_auprc,0.5789204845920869
split1_train_mcc,0.6032463185720012
split1_train_f1,0.5666666666666667
split1_train_auprc,0.45376965438803946
split1_test_mcc,0.6773786076528916
split1_test_f1,0.6666666666666666
split1_test_auprc,0.5492708548470102
split2_train_mcc,0.6187421768701943
split2_train_f1,0.59375
split2_train_auprc,0.46629474600031806
split2_test_mcc,0.6278669185981051
split2_test_f1,0.5714285714285714
split2_test_auprc,0.4377943235655428
split3_train_mcc,0.6554089711354643
split3_train_f1,0.6363636363636364
split3_train_auprc,0.46774225429669275
split3_test_mcc,0.4429030024106458
split3_test_f1,0.3333333333333333
split3_test_auprc,0.2507821615257128
split4_train_mcc,0.6318517905529382
split4_train_f1,0.5901639344262295
split4_train_auprc,0.4920545833484169
split4_test_mcc,0.589611228406161
split4_test_f1,0.5882352941176471
split4_test_auprc,0.5305121911307478
mean_train_mcc,0.6193056802375525
mean_train_f1,0.5888642573273721
mean_train_auprc,0.4674718826557241
mean_test_mcc,0.6143648908336194
mean_test_f1,0.573109243697479
mean_test_auprc,0.4694560031322201
