train_size,train_pct,mcc,f1,auprc
210,10,0.29854071701326607,0.25,0.5668540870833234
419,20,0.3925284064229525,0.2727272727272727,0.6586964477946093
629,30,0.7904483384788544,0.7741935483870968,0.7673790368326481
838,40,0.7904483384788544,0.7741935483870968,0.7943822175009605
1048,50,0.7904483384788544,0.7741935483870968,0.7496853867636311
1257,60,0.7904483384788544,0.7741935483870968,0.7562295248146997
1467,70,0.7904483384788544,0.7741935483870968,0.7352272796610971
1676,80,0.7904483384788544,0.7741935483870968,0.815169821678585
1886,90,0.7904483384788544,0.7741935483870968,0.7699012446570905
2095,100,0.7904483384788544,0.7741935483870968,0.7996888041260369
