Season,Name,death_prediction,death_prediction_probability
winter,CONTROL,False,0.34478496846593465
summer,CONTROL,False,0.3464015836416406
summer,TOKYO,False,0.34676197154999105
summer,JADE,False,0.3475125930606824
winter,ELOANE,False,0.3476851500737035
winter,TINA,False,0.3491225728653624
summer,ELOANE,False,0.35036290054411684
winter,ELEONORA,False,0.3527605498970873
winter,TOKYO,False,0.3528521211638734
winter,VENICE,False,0.35677882308506276
winter,GLORY,False,0.3590851000935552
winter,NEVADA,False,0.3593132842058671
winter,PISCES,False,0.3599586996556128
winter,BRADY,False,0.3607046380575318
winter,ELPIDA,False,0.3608090194645013
winter,MOSCOW,False,0.3622539380261462
winter,MAYA,False,0.36249075159966543
summer,BRADY,False,0.36344282883069595
summer,ELPIDA,False,0.3651574817385355
summer,PISCES,False,0.36614722195632904
summer,GLORY,False,0.36700356836017906
winter,SINGAPURA,False,0.3683861637716488
summer,CHARLESTON,False,0.36840408928872553
summer,MOSCOW,False,0.3703615394165099
summer,NEVADA,False,0.38191959480523474
summer,SINGAPURA,False,0.38812662719747193
winter,VENUS,False,0.39856650029105517
summer,VENICE,False,0.40446590651030184
summer,TINA,False,0.4569551242895802
summer,ELEONORA,True,0.5183733498430113
summer,MAYA,True,0.7441546175013197
summer,VENUS,True,0.8757432010084102
summer,GLOBE,True,0.8882512233466399
summer,INGY,True,0.8882512233466399
summer,LEANNE,True,0.8883356665550716
summer,FORSTER,True,0.891815184442161
winter,ORPHEUS,True,0.8944860294167533
summer,ANNA,True,0.894861189211802
winter,INGY,True,0.8959572504737218
winter,GLOBE,True,0.8959572504737218
summer,ORPHEUS,True,0.8960573786278975
winter,FORSTER,True,0.8967162241346546
winter,ANNA,True,0.8968261711399689
